"TIMESTAMP","1. OTT 서비스를 한 번이라도 이용한 적이 있으십니까?","1. 귀하께서 이용해본 경험이 있는 월정액 OTT 서비스를 모두 선택해 주십시오. (복수응답)","2. 귀하께서 이용해본 경험이 있는 OTT 서비스 중 현재 이용 중인 OTT 서비스를  모두 선택해 주십시오. (복수응답)","3. 귀하께서 월정액 OTT 동영상 서비스의 이용빈도는 얼마나 되십니까?","4. 귀하의 월정액 OTT 동영상 서비스의 하루 평균 이용 시간은 대략 얼마나 되십니까?","5. 귀하께서는 월정액 OTT 동영상 서비스에 월 평균 얼마를 지출하고 계십니까?","1. 다양한 종류의 정보를 알 수 있다. [넷플릭스]","1. 다양한 종류의 정보를 알 수 있다. [왓챠]","1. 다양한 종류의 정보를 알 수 있다. [웨이브]","1. 다양한 종류의 정보를 알 수 있다. [티빙]","1. 다양한 종류의 정보를 알 수 있다. [유튜브           프리미엄]","2. 새로운 흥미와 재미를 느낄 수 있다. [넷플릭스]","2. 새로운 흥미와 재미를 느낄 수 있다. [왓챠]","2. 새로운 흥미와 재미를 느낄 수 있다. [웨이브]","2. 새로운 흥미와 재미를 느낄 수 있다. [티빙]","2. 새로운 흥미와 재미를 느낄 수 있다. [유튜브 프리미엄]","3. 일상의 복잡한 일을 잊을 수 있다. [넷플릭스]","3. 일상의 복잡한 일을 잊을 수 있다. [왓챠]","3. 일상의 복잡한 일을 잊을 수 있다. [웨이브]","3. 일상의 복잡한 일을 잊을 수 있다. [티빙]","3. 일상의 복잡한 일을 잊을 수 있다. [유튜브 프리미엄]","4. 스트레스를 해소 시켜준다. [넷플릭스]","4. 스트레스를 해소 시켜준다. [왓챠]","4. 스트레스를 해소 시켜준다. [웨이브]","4. 스트레스를 해소 시켜준다. [티빙]","4. 스트레스를 해소 시켜준다. [유튜브 프리미엄]","5. 해당 서비스의 이용 요금 체계에 만족한다. [넷플릭스]","5. 해당 서비스의 이용 요금 체계에 만족한다. [왓챠]","5. 해당 서비스의 이용 요금 체계에 만족한다. [웨이브]","5. 해당 서비스의 이용 요금 체계에 만족한다. [티빙]","5. 해당 서비스의 이용 요금 체계에 만족한다. [유튜브 프리미엄]","6. 해당 서비스는 합리적인 가격으로 이용할 수 있다. [넷플릭스]","6. 해당 서비스는 합리적인 가격으로 이용할 수 있다. [왓챠]","6. 해당 서비스는 합리적인 가격으로 이용할 수 있다. [웨이브]","6. 해당 서비스는 합리적인 가격으로 이용할 수 있다. [티빙]","6. 해당 서비스는 합리적인 가격으로 이용할 수 있다. [유튜브 프리미엄]","7. 여러 요금제를 선택할 수 있어서 경제적이다. [넷플릭스]","7. 여러 요금제를 선택할 수 있어서 경제적이다. [왓챠]","7. 여러 요금제를 선택할 수 있어서 경제적이다. [웨이브]","7. 여러 요금제를 선택할 수 있어서 경제적이다. [티빙]","7. 여러 요금제를 선택할 수 있어서 경제적이다. [유튜브 프리미엄]","8. 프로모션을 통해 할인받을 수 있어 경제적이다. [넷플릭스]","8. 프로모션을 통해 할인받을 수 있어 경제적이다. [왓챠]","8. 프로모션을 통해 할인받을 수 있어 경제적이다. [웨이브]","8. 프로모션을 통해 할인받을 수 있어 경제적이다. [티빙]","8. 프로모션을 통해 할인받을 수 있어 경제적이다. [유튜브 프리미엄]","9. 안정적인 품질의 콘텐츠를 시청할 수 있다. [넷플릭스]","9. 안정적인 품질의 콘텐츠를 시청할 수 있다. [왓챠]","9. 안정적인 품질의 콘텐츠를 시청할 수 있다. [웨이브]","9. 안정적인 품질의 콘텐츠를 시청할 수 있다. [티빙]","9. 안정적인 품질의 콘텐츠를 시청할 수 있다. [유튜브 프리미엄]","10. 버퍼링 및 끊김 없는 안정적 이용이 가능하다. [넷플릭스]","10. 버퍼링 및 끊김 없는 안정적 이용이 가능하다. [왓챠]","10. 버퍼링 및 끊김 없는 안정적 이용이 가능하다. [웨이브]","10. 버퍼링 및 끊김 없는 안정적 이용이 가능하다. [티빙]","10. 버퍼링 및 끊김 없는 안정적 이용이 가능하다. [유튜브 프리미엄]","11. 제공되는 콘텐츠의 화질이 좋다. [넷플릭스]","11. 제공되는 콘텐츠의 화질이 좋다. [왓챠]","11. 제공되는 콘텐츠의 화질이 좋다. [웨이브]","11. 제공되는 콘텐츠의 화질이 좋다. [티빙]","11. 제공되는 콘텐츠의 화질이 좋다. [유튜브 프리미엄]","12. 최신 콘텐츠를 볼 수 있다. [넷플릭스]","12. 최신 콘텐츠를 볼 수 있다. [왓챠]","12. 최신 콘텐츠를 볼 수 있다. [웨이브]","12. 최신 콘텐츠를 볼 수 있다. [티빙]","12. 최신 콘텐츠를 볼 수 있다. [유튜브 프리미엄]","13. 많은 콘텐츠를 볼 수 있다. [넷플릭스]","13. 많은 콘텐츠를 볼 수 있다. [왓챠]","13. 많은 콘텐츠를 볼 수 있다. [웨이브]","13. 많은 콘텐츠를 볼 수 있다. [티빙]","13. 많은 콘텐츠를 볼 수 있다. [유튜브 프리미엄]","14. 내가 좋아하는 콘텐츠를 추천받을 수 있다. [넷플릭스]","14. 내가 좋아하는 콘텐츠를 추천받을 수 있다. [왓챠]","14. 내가 좋아하는 콘텐츠를 추천받을 수 있다. [웨이브]","14. 내가 좋아하는 콘텐츠를 추천받을 수 있다. [티빙]","14. 내가 좋아하는 콘텐츠를 추천받을 수 있다. [유튜브 프리미엄]","15. 콘텐츠 추천 기능은 유용하다. [넷플릭스]","15. 콘텐츠 추천 기능은 유용하다. [왓챠]","15. 콘텐츠 추천 기능은 유용하다. [웨이브]","15. 콘텐츠 추천 기능은 유용하다. [티빙]","15. 콘텐츠 추천 기능은 유용하다. [유튜브 프리미엄]","16. 다른 플랫폼에서 볼 수 없는 오리지널(자체제작) 콘텐츠가 많다. [넷플릭스]","16. 다른 플랫폼에서 볼 수 없는 오리지널(자체제작) 콘텐츠가 많다. [왓챠]","16. 다른 플랫폼에서 볼 수 없는 오리지널(자체제작) 콘텐츠가 많다. [웨이브]","16. 다른 플랫폼에서 볼 수 없는 오리지널(자체제작) 콘텐츠가 많다. [티빙]","16. 다른 플랫폼에서 볼 수 없는 오리지널(자체제작) 콘텐츠가 많다. [유튜브 프리미엄]","1. 귀하의 성별은 어떻게 되십니까?","2. 귀하의 나이대는 어떻게 되십니까?","3. 귀하의 월평균 가구 소득 총액은 어떻게 되십니까?","4. 귀하의 최종 학력은 어떻게 되십니까?","5. 귀하의 직업은 어떻게 되십니까?"
"2022-04-12 2:23:54","예","넷플릭스	왓챠	유튜브 프리미엄","넷플릭스	유튜브 프리미엄","한 달에 1~3일 이용","1시간 미만","월 10,000원 이상~20,000원 미만","그렇다","그렇다","","","매우 그렇다","그렇다","보통이다","","","보통이다","그렇다","그렇다","","","그렇지 않다","보통이다","보통이다","","","그렇다","그렇다","그렇다","","","그렇다","그렇다","그렇다","","","그렇지 않다","그렇다","그렇다","","","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","","","전혀 그렇지 않다","그렇다","그렇다","","","그렇지 않다","그렇다","그렇다","","","그렇다","그렇다","그렇다","","","그렇다","그렇다","그렇다","","","그렇다","그렇다","그렇다","","","매우 그렇다","매우 그렇다","매우 그렇다","","","보통이다","매우 그렇다","매우 그렇다","","","그렇지 않다","매우 그렇다","매우 그렇다","","","보통이다","여성","20대","100만원 미만","대학 재학","학생"
"2022-04-12 2:25:28","예","넷플릭스	왓챠	웨이브","왓챠","1주일에 1~3일 이용","1시간 이상~2시간 미만","월 5,000원 미만","매우 그렇다","매우 그렇다","매우 그렇다","","","매우 그렇다","매우 그렇다","매우 그렇다","","","매우 그렇다","매우 그렇다","매우 그렇다","","","매우 그렇다","매우 그렇다","매우 그렇다","","","보통이다","그렇다","그렇다","","","보통이다","그렇다","그렇다","","","그렇지 않다","매우 그렇다","매우 그렇다","","","보통이다","매우 그렇다","매우 그렇다","","","매우 그렇다","매우 그렇다","매우 그렇다","","","매우 그렇다","매우 그렇다","매우 그렇다","","","매우 그렇다","매우 그렇다","매우 그렇다","","","매우 그렇다","매우 그렇다","매우 그렇다","","","매우 그렇다","매우 그렇다","매우 그렇다","","","매우 그렇다","매우 그렇다","매우 그렇다","","","보통이다","보통이다","보통이다","","","매우 그렇다","그렇다","그렇다","","","여성","10대","100만원 미만","중졸이하","학생"
"2022-04-12 2:26:44","예","넷플릭스	디즈니 플러스","디즈니 플러스","1주일에 1~3일 이용","3시간 이상~4시간 미만","월 5,000원 미만","그렇다","","","","","그렇다","","","","","그렇지 않다","","","","","보통이다","","","","","보통이다","","","","","보통이다","","","","","그렇지 않다","","","","","보통이다","","","","","그렇다","","","","","그렇다","","","","","그렇다","","","","","그렇다","","","","","그렇다","","","","","그렇다","","","","","그렇지 않다","","","","","그렇다","","","","","여성","20대","100만원 미만","대학 졸업","[기타]"
"2022-04-12 2:28:09","예","넷플릭스	티빙","넷플릭스","1주일에 1~3일 이용","2시간 이상~3시간 미만","월 5,000원 미만","그렇다","","","그렇다","","그렇다","","","그렇다","","그렇다","","","그렇다","","그렇다","","","그렇다","","그렇다","","","그렇다","","그렇다","","","그렇다","","그렇다","","","그렇다","","매우 그렇다","","","매우 그렇다","","그렇다","","","그렇다","","그렇다","","","그렇다","","그렇다","","","그렇다","","그렇다","","","그렇다","","보통이다","","","보통이다","","그렇다","","","그렇다","","그렇다","","","보통이다","","그렇다","","","보통이다","","여성","20대","300만원 이상","대학 재학","학생"
"2022-04-12 2:30:00","예","넷플릭스	왓챠	웨이브	티빙	유튜브 프리미엄","넷플릭스	왓챠	웨이브	티빙	유튜브 프리미엄","1주일에 1~3일 이용","1시간 이상~2시간 미만","월 30,000원 이상","매우 그렇다","그렇다","그렇다","그렇다","그렇다","보통이다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","보통이다","그렇다","그렇지 않다","그렇다","전혀 그렇지 않다","그렇다","그렇다","그렇다","그렇다","그렇지 않다","그렇다","매우 그렇다","그렇다","매우 그렇다","전혀 그렇지 않다","보통이다","그렇지 않다","그렇지 않다","그렇지 않다","전혀 그렇지 않다","매우 그렇다","매우 그렇다","그렇다","그렇다","그렇다","그렇다","매우 그렇다","매우 그렇다","그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","보통이다","그렇다","그렇다","그렇다","그렇다","그렇다","그렇다","그렇다","그렇다","매우 그렇다","그렇다","그렇다","매우 그렇다","매우 그렇다","매우 그렇다","보통이다","매우 그렇다","보통이다","그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","여성","20대","300만원 이상","대학 재학","학생"
"2022-04-12 2:32:07","예","넷플릭스	왓챠	웨이브	티빙	유튜브 프리미엄","넷플릭스	왓챠	웨이브	티빙","1주일에 1~3일 이용","1시간 이상~2시간 미만","월 10,000원 이상~20,000원 미만","보통이다","보통이다","그렇다","그렇다","보통이다","보통이다","보통이다","그렇다","그렇다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","전혀 그렇지 않다","보통이다","보통이다","보통이다","보통이다","그렇지 않다","보통이다","보통이다","보통이다","그렇다","보통이다","보통이다","보통이다","그렇다","보통이다","그렇다","보통이다","보통이다","보통이다","그렇다","그렇다","보통이다","그렇다","그렇다","매우 그렇다","매우 그렇다","보통이다","보통이다","매우 그렇다","매우 그렇다","보통이다","보통이다","보통이다","그렇다","그렇다","그렇다","보통이다","매우 그렇다","보통이다","그렇다","보통이다","보통이다","보통이다","보통이다","그렇다","그렇다","그렇다","보통이다","그렇다","그렇다","그렇지 않다","여성","20대","100만원 미만","대학 졸업","학생"
"2022-04-12 22:04:36","예","넷플릭스	왓챠	웨이브	티빙","없음","거의 이용하지 않음(한 달에 1일 미만)","1시간 미만","월 5,000원 미만","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","그렇다","그렇다","그렇다","그렇다","그렇다","그렇다","보통이다","그렇다","그렇다","매우 그렇다","그렇다","보통이다","그렇다","보통이다","매우 그렇다","그렇다","그렇다","보통이다","보통이다","매우 그렇다","보통이다","보통이다","보통이다","보통이다","그렇다","그렇다","보통이다","보통이다","그렇다","그렇다","여성","20대","100만원 이상 ~ 200만원 미만","고졸","사무직/기술직"
"2022-04-12 22:14:25","예","넷플릭스	왓챠	티빙	라프텔","라프텔","1주일에 7일 이용","1시간 이상~2시간 미만","월 5,000원 미만","그렇지 않다","보통이다","","그렇다","","보통이다","그렇다","","그렇다","","그렇다","그렇다","","매우 그렇다","","보통이다","그렇다","","매우 그렇다","","전혀 그렇지 않다","보통이다","","보통이다","","그렇지 않다","보통이다","","보통이다","","그렇지 않다","그렇지 않다","","그렇지 않다","","그렇지 않다","그렇다","","그렇다","","그렇다","그렇다","","그렇다","","그렇다","그렇다","","그렇다","","그렇다","그렇다","","보통이다","","그렇다","매우 그렇다","","매우 그렇다","","그렇지 않다","보통이다","","매우 그렇다","","보통이다","보통이다","","보통이다","","그렇다","그렇다","","보통이다","","그렇다","그렇지 않다","","보통이다","","여성","20대","100만원 이상 ~ 200만원 미만","대학 재학","학생"
"2022-04-12 22:16:32","예","넷플릭스	왓챠	웨이브	티빙	유튜브 프리미엄","넷플릭스	웨이브	티빙","1주일에 4~6일 이용","2시간 이상~3시간 미만","월 5,000원 이상~10,000원 미만","보통이다","보통이다","그렇다","그렇다","그렇다","보통이다","보통이다","보통이다","보통이다","보통이다","그렇다","그렇다","그렇다","그렇다","그렇다","그렇다","보통이다","보통이다","그렇다","보통이다","전혀 그렇지 않다","보통이다","보통이다","보통이다","보통이다","그렇지 않다","그렇다","그렇다","그렇다","보통이다","그렇다","보통이다","보통이다","그렇다","보통이다","그렇다","보통이다","보통이다","보통이다","보통이다","그렇다","그렇다","그렇다","그렇다","그렇다","보통이다","보통이다","보통이다","그렇다","보통이다","그렇다","그렇다","그렇다","그렇다","그렇다","그렇다","보통이다","그렇다","그렇다","그렇다","보통이다","보통이다","그렇다","그렇다","그렇다","매우 그렇다","그렇다","보통이다","그렇다","그렇다","보통이다","보통이다","그렇다","그렇다","보통이다","그렇다","그렇다","그렇지 않다","그렇다","보통이다","여성","20대","100만원 이상 ~ 200만원 미만","대학 재학","학생"
"2022-04-12 22:19:41","예","넷플릭스	티빙	라프텔","라프텔","1주일에 1~3일 이용","1시간 미만","월 5,000원 미만","그렇다","","","보통이다","","그렇다","","","보통이다","","보통이다","","","보통이다","","그렇다","","","그렇다","","보통이다","","","그렇다","","보통이다","","","그렇다","","그렇다","","","그렇다","","그렇다","","","그렇다","","그렇다","","","그렇다","","그렇다","","","그렇다","","그렇다","","","그렇다","","그렇다","","","그렇다","","그렇다","","","보통이다","","그렇다","","","그렇다","","보통이다","","","보통이다","","그렇다","","","보통이다","","여성","20대","100만원 미만","대학 재학","학생"
"2022-04-12 22:21:34","예","넷플릭스	왓챠	웨이브	쿠팡플레이","넷플릭스	왓챠	쿠팡플레이","거의 이용하지 않음(한 달에 1일 미만)","1시간 미만","월 5,000원 미만","그렇다","그렇다","그렇다","","","보통이다","보통이다","그렇다","","","그렇지 않다","그렇지 않다","그렇지 않다","","","그렇지 않다","그렇지 않다","그렇지 않다","","","전혀 그렇지 않다","보통이다","보통이다","","","전혀 그렇지 않다","보통이다","보통이다","","","그렇다","그렇다","그렇다","","","보통이다","보통이다","보통이다","","","그렇다","그렇다","그렇다","","","매우 그렇다","매우 그렇다","매우 그렇다","","","매우 그렇다","매우 그렇다","매우 그렇다","","","보통이다","보통이다","보통이다","","","그렇지 않다","그렇지 않다","그렇지 않다","","","그렇다","그렇다","그렇다","","","매우 그렇다","매우 그렇다","매우 그렇다","","","보통이다","보통이다","보통이다","","","여성","20대","100만원 미만","대학 재학","학생"
"2022-04-12 22:23:27","예","넷플릭스	왓챠	유튜브 프리미엄","넷플릭스	유튜브 프리미엄","1주일에 7일 이용","1시간 이상~2시간 미만","월 10,000원 이상~20,000원 미만","그렇다","그렇다","","","그렇다","그렇다","그렇다","","","매우 그렇다","보통이다","보통이다","","","그렇다","보통이다","보통이다","","","그렇다","그렇다","보통이다","","","보통이다","그렇다","그렇다","","","보통이다","그렇다","그렇다","","","그렇지 않다","그렇지 않다","그렇지 않다","","","그렇지 않다","그렇다","그렇다","","","그렇다","그렇다","그렇다","","","그렇다","그렇다","그렇다","","","그렇다","그렇다","그렇다","","","매우 그렇다","그렇다","그렇다","","","매우 그렇다","그렇다","그렇다","","","매우 그렇다","그렇다","그렇다","","","그렇다","그렇다","보통이다","","","그렇다","여성","20대","300만원 이상","고졸","사무직/기술직"
"2022-04-12 22:25:29","예","넷플릭스	웨이브	티빙","넷플릭스	웨이브	티빙","1주일에 4~6일 이용","1시간 미만","월 5,000원 이상~10,000원 미만","그렇다","","그렇다","그렇다","","그렇다","","그렇다","그렇다","","그렇다","","그렇다","그렇다","","그렇다","","그렇다","그렇다","","그렇지 않다","","그렇지 않다","그렇지 않다","","그렇지 않다","","그렇지 않다","그렇지 않다","","보통이다","","보통이다","보통이다","","전혀 그렇지 않다","","보통이다","보통이다","","그렇다","","그렇다","그렇다","","그렇다","","그렇다","그렇다","","그렇다","","그렇다","그렇다","","그렇다","","그렇다","그렇다","","보통이다","","그렇다","그렇다","","그렇다","","보통이다","그렇다","","그렇지 않다","","보통이다","보통이다","","매우 그렇다","","보통이다","매우 그렇다","","여성","20대","300만원 이상","대학 재학","학생"
"2022-04-12 22:25:59","아니오","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","여성","50대 이상","300만원 이상","중졸이하","주부"
"2022-04-12 22:40:12","예","넷플릭스	왓챠	웨이브	티빙	유튜브 프리미엄","웨이브	티빙	유튜브 프리미엄","1주일에 7일 이용","3시간 이상~4시간 미만","월 10,000원 이상~20,000원 미만","그렇다","그렇다","그렇다","그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","그렇다","그렇다","그렇다","그렇다","매우 그렇다","그렇다","그렇다","그렇다","그렇다","매우 그렇다","그렇지 않다","보통이다","그렇다","그렇다","그렇다","그렇지 않다","보통이다","보통이다","보통이다","보통이다","보통이다","보통이다","그렇다","그렇다","그렇다","보통이다","보통이다","보통이다","보통이다","보통이다","그렇다","그렇다","그렇다","그렇다","그렇다","그렇다","그렇다","그렇다","그렇다","그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","그렇다","그렇다","그렇다","그렇다","그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","그렇다","보통이다","보통이다","그렇다","그렇다","여성","20대","200만원 이상 ~ 300만원 미만","고졸","전문직/자유직"
"2022-04-13 0:19:12","예","넷플릭스	왓챠	유튜브 프리미엄	라프텔, 디즈니플러스","없음","1주일에 1~3일 이용","2시간 이상~3시간 미만","월 5,000원 미만","그렇다","매우 그렇다","보통이다","그렇다","매우 그렇다","그렇다","그렇다","그렇다","매우 그렇다","그렇다","그렇다","그렇다","매우 그렇다","매우 그렇다","그렇다","보통이다","그렇다","보통이다","보통이다","그렇다","보통이다","보통이다","보통이다","보통이다","그렇지 않다","보통이다","그렇다","그렇다","그렇다","그렇지 않다","그렇다","그렇다","그렇다","그렇다","그렇지 않다","보통이다","그렇다","보통이다","보통이다","보통이다","그렇다","매우 그렇다","그렇다","그렇다","그렇다","보통이다","보통이다","그렇다","보통이다","보통이다","그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","그렇다","그렇다","매우 그렇다","그렇다","매우 그렇다","매우 그렇다","그렇다","매우 그렇다","매우 그렇다","그렇다","매우 그렇다","그렇다","매우 그렇다","매우 그렇다","보통이다","보통이다","그렇다","매우 그렇다","여성","20대","200만원 이상 ~ 300만원 미만","대학 재학","학생"
"2022-04-14 10:42:35","예","넷플릭스","넷플릭스","1주일에 1~3일 이용","1시간 미만","월 5,000원 미만","보통이다","","","","","보통이다","","","","","그렇지 않다","","","","","그렇지 않다","","","","","보통이다","","","","","보통이다","","","","","보통이다","","","","","그렇지 않다","","","","","그렇다","","","","","그렇다","","","","","그렇다","","","","","보통이다","","","","","보통이다","","","","","보통이다","","","","","보통이다","","","","","보통이다","","","","","남성","50대 이상","300만원 이상","대학 졸업","사무직/기술직"
"2022-04-14 11:11:20","예","넷플릭스	티빙","넷플릭스	티빙","1주일에 4~6일 이용","1시간 이상~2시간 미만","월 10,000원 이상~20,000원 미만","그렇다","","","보통이다","","그렇지 않다","","","보통이다","","그렇다","","","그렇다","","그렇다","","","그렇다","","보통이다","","","보통이다","","보통이다","","","보통이다","","보통이다","","","보통이다","","그렇지 않다","","","매우 그렇다","","그렇다","","","그렇다","","그렇다","","","그렇다","","그렇다","","","그렇다","","그렇지 않다","","","그렇다","","그렇다","","","보통이다","","그렇다","","","보통이다","","보통이다","","","보통이다","","보통이다","","","그렇다","","여성","40대","300만원 이상","고졸","주부"
